ID,Title,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
1,A Translational Science Model for HCI, Lucas Colusso, Ridley Jones, Sean A. Munson, Gary Hsieh (University of Washington),,,,,,,,,,
2,They Don't Leave Us Alone Anywhere We Go: Gender and Digital Abuse in South Asia, Nithya Sambasivan (Google), Amna Batool (Information Technology University), Nova Ahmed (North South University), Tara Matthews (Independent Researcher), Kurt Thomas (Google), Laura Sanely Gaytan-Lugo (Universidad de Colima), David Nemer (University of Kentucky), Elie Bursztein, Elizabeth Churchill, Sunny Consolvo (Google),,,,
3,Guidelines for Human-AI Interaction, Saleema Amershi (Microsoft), Dan Weld (University of Washington & Microsoft Research), Mihaela Vorvoreanu, Adam Fourney, Besmira Nushi, Penny Collisson, Jina Suh, Shamsi Iqbal, Paul N. Bennett, Kori Inkpen, Jaime Teevan, Ruth Kikin-Gil, Eric Horvitz (Microsoft),
4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Carrie J. Cai, Emily Reif, Narayan Hegde, Jason Hipp, Been Kim, Daniel Smilkov, Martin Wattenberg, Fernanda Viegas, Greg S. Corrado, Martin C. Stumpe, Michael Terry (Google Brain),,,
5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Jocelyn Spence, Benjamin Bedwell, Michelle Coleman, Steve Benford, Boriana N. Koleva, (University of Nottingham), Matt Adams, Ju Row Farr, Nick Tandavanitj (Blast Theory), Anders Sundnes Lovlie (IT University of Copenhagen),,,,
6,Design and Plural Heritages: Composing Critical Futures, Tom Schofield, Daniel Foster Smith, Gonul Bozoglu, Christopher Whitehead (Newcastle University),,,,,,,,,,
7,Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum, Aditi Mallavarapu (University of Illinois at Chicago), Leilah Lyons (University of Illinois at Chicago & New York Hall of Science), Stephen Uzzo (New York Hall of Science), Wren Thompson (New York Hall of Science), Rinat Levy-Cohen (Fordham University), Brian Slattery (University of Illinois at Chicago),,,,,,,,
8,Anchored Audio Sampling: A Seamless Method for Exploring Children's Thoughts During Deployment Studies, Alexis Hiniker, Jon E. Froehlich, Mingrui Zhang, Erin Beneteau (University of Washington),,,,,,,,,,
9,To Asymmetry and Beyond!: Improving Social Connectedness by Increasing Designed Interdependence in Cooperative Play, John Harris, Mark Hancock (University of Waterloo),,,,,,,,,,,,
10,DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children with Disabilities, Leandro Florez-Aristizabal (Inst. Universitaria Antonio Jose Camacho), Sandra Cano (Universidad de San Buenaventura), Cesar A. Collazos (Universidad del Cauca), Andres F. Solano (Universidad Autonoma de Occidente), Stephen Brewster (University of Glasgow),,,,,,,,,
11,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model, Jotaro Shigeyama, Takeru Hashimoto, Shigeo Yoshida, Takuji Narumi, Tomohiro Tanikawa, Michitaka Hirose, (The University of Tokyo),,,,,,,
12,LightBee: A Self-Levitating Light Field Display for Hologrammatic Telepresence, Xujing Zhang, Sean Braley, Calvin Rubens (Queen's University), Timothy Merritt (Aalborg University), Roel Vertegaal (Queen's University),,,,,,,,,
13,TabletInVR: Exploring the Design Space for Using a Multi-Touch Tablet in Virtual Reality, Hemant Bhaskar Surale, Aakar Gupta, Mark Hancock, Daniel Vogel (University of Waterloo),,,,,,,,,,
14,RotoSwype: Word-Gesture Typing using a Ring, Aakar Gupta, Cheng Ji (University of Waterloo), Hui-Shyong Yeo, Aaron Quigley (University of St Andrews), Daniel Vogel (University of Waterloo),,,,,,,,,
15,BeamBand: Hand Gesture Sensing with Ultrasonic Beamforming, Yasha Iravantchi, Mayank Goel, Chris Harrison (Carnegie Mellon University),,,,,,,,,,,
16,Airport Accessibility and Navigation Assistance for People with Visual Impairments, Joao Guerreiro (Carnegie Mellon University), Dragan Ahmetovic (Carnegie Mellon University), Daisuke Sato (IBM Research & Carnegie Mellon University), Kris Kitani (Robotics Institute), Chieko Asakawa (Carnegie Mellon University),,,,,,,,,
17,Effects of Moderation and Opinion Heterogeneity on Attitude towards the Online Deliberation Experience, Simon T. Perrault (Yale-NUS College & Korea Advanced Institute of Science and Technology), Weiyu Zhang (National University of Singapore),,,,,,,,,,,,
18,MilliSonic: Pushing the Limits of Acoustic Motion Tracking, Anran Wang, Shyamnath Gollakota (University of Washington),,,,,,,,,,,,
19,Casual Microtasking: Embedding Microtasks in Facebook, Nathan Hahn (Carnegie Mellon University), Shamsi T. Iqbal, Jaime Teevan (Microsoft Research),,,,,,,,,,,
20,Making Sense of Art: Access for Gallery Visitors with Vision Impairments, Leona Holloway, Kim Marriott, Matthew Butler (Monash University), Alan Borning (University of Washington),,,,,,,,,,
21,"Co-Design Beyond Words: ""Moments of Interaction"" with Minimally-Verbal Children on the Autism Spectrum", Cara Wilson, Margot Brereton, Bernd Ploderer, Laurianne Sitbon (Queensland University of Technology),,,,,,,,,,
22,Emotional Utility and Recall of the Facebook News Feed, Pawarat Nontasil, Stephen J. Payne (University of Bath),,,,,,,,,,,,
23,The Breaking Hand: Skills Care and Sufferings of the Hands of an Electronic Waste Worker in Bangladesh, Mohammad Rashidujjaman Rifat (University of Toronto), Hasan Mahmud Prottoy (Bangladesh University of Engineering and Technology), Syed Ishtiaque Ahmed (University of Toronto),,,,,,,,,,,
24,EarTouch: Facilitating Smartphone Use for Visually Impaired People in Mobile and Public Scenarios, Ruolin Wang, Chun Yu (Tsinghua University), Xing-Dong Yang (Dartmouth College), Weijie He (Tsinghua University), Yuanchun Shi (Tsinghua University),,,,,,,,,
25,Diagnosing and Coping with Mode Errors in Korean-English Dual-language Keyboard, Sangyoon Lee, Jaeyeon Lee, Geehyuk Lee (Korea Advanced Institute of Science and Technology),,,,,,,,,,,
26,Impact of Contextual Factors on Snapchat Public Sharing, Hana Habib (Carnegie Mellon University), Neil Shah, Rajan Vaish (Snap Inc.),,,,,,,,,,,
27,Cluster Touch: Improving Touch Accuracy on Smartphones for People with Motor and Situational Impairments, Martez E. Mott, Jacob O. Wobbrock (University of Washington),,,,,,,,,,,,
28,MindDot: Supporting Effective Cognitive Behaviors in Concept Map-Based Learning Environments, Shang Wang (Arizona State University), Deniz Sonmez Unal, Erin Walker (University of Pittsburgh),,,,,,,,,,,
29,Changing Perspective: A Co-Design Approach to Explore Future Possibilities of Divergent Hearing, Judith Dorrenbacher, Marc Hassenzahl (University of Siegen),,,,,,,,,,,,
30,Failing with Style: Designing for Aesthetic Failure in Interactive Performance, Adrian Hazzard, Chris Greenhalgh, Maria Kallionpaa, Steve Benford (University of Nottingham), Anne Veinberg (Leiden University), Zubin Kanga (University of London), Andrew McPherson (Queen Mary University of London),,,,,,,
31,The Channel Matters: Self-disclosure Reciprocity and Social Support in Online Cancer Support Groups, Diyi Yang, Zheng Yao, Joseph Seering, Robert Kraut (Carnegie Mellon University),,,,,,,,,,
32,Design Goals for Playful Technology to Support Physical Activity Among Wheelchair Users, Liam Mason (University of Lincoln), Kathrin Gerling (KU Leuven), Patrick Dickinson (University of Lincoln), Antonella De Angeli (University of Lincoln & University of Trento),,,,,,,,,,
33,Designing 'True Colors': A Social Wearable that Affords Vulnerability, Ella Dagan (University of California Santa Cruz), Elena Marquez Segura (Uppsala University), Ferran Altarriba Bertran, Miguel Flores, Katherine Isbister (University of California Santa Cruz),,,,,,,,,
34,Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly, William Odom (Simon Fraser University), Ron Wakkary (Eindhoven University of Technology), Jeroen Hol, Bram Naus, Pepijn Verburg (Eindhoven University of Technology), Tal Amram, Amy Yo Sue Chen (Simon Fraser University),,,,,,,
35,From HCI to HCI-Amusement: Strategies for Engaging what New Technology Makes Old, Laura Devendorf (University of Colorado Boulder), Kristina Andersen (Eindhoven University of Technology), Daniela K. Rosner (University of Washington), Ron Wakkary (Simon Fraser University & Eindhoven University of Technology), James Pierce (University of California Berkeley),,,,,,,,,
36,Evaluating the Impact of a Mobile Neurofeedback App for Young Children at School and Home, Alissa N. Antle, Elgin-Skye McLaren (Simon Fraser University), Holly Fiedler (Langara College), Naomi Johnson (Social Work Independent Consultant),,,,,,,,,,
37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, Jianzhe Gu (Carnegie Mellon University), David E. Breen (Carnegie Mellon University & Drexel University), Jenny Hu (Carnegie Mellon Univeristy), Lifeng Zhu (Southeast University & Carnegie Mellon University), Ye Tao (Zhejiang Univeristy & Carnegie Mellon University), Tyson Van de Zande, Guanyun Wang, Yongjie Jessica Zhang, Lining Yao (Carnegie Mellon University),,,,,
38,In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound, Jon McCormack, Toby Gifford, Patrick Hutchings (Monash University), Maria Teresa Llano Rodriguez, Matthew Yee-King, Mark d'Inverno (University of London),,,,,,,,
39,Towards Collaboration Translucence: Giving Meaning to Multimodal Group Data, Vanessa Echeverria (University of Technology Sydney), Roberto Martinez-Maldonado, Simon Buckingham Shum (University of Technology Sydney),,,,,,,,,,,
40,At Your Service: Designing Voice Assistant Personalities to Improve Automotive User Interfaces: A Real World Driving Study, Michael Braun (BMW Group Research & Ludwig Maximilian University of Munich), Anja Mainz (Ludwig Maximilian University of Munich), Ronee Chadowitz (BMW Group Research), Bastian Pfleging (Ludwig Maximilian University of Munich), Florian Alt (Bundeswehr University Munich & Ludwig Maximilian University of Munich),,,,,,,,,
41,Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-making in Child Welfare Services, Anna Brown (Massey University), Alexandra Chouldechova (Carnegie Mellon University & Microsoft Research), Emily Putnam-Hornstein (University of Southern California), Andrew Tobin (Massey University), Rhema Vaithianathan (Auckland University of Technology),,,,,,,,,
42,ActiveInk: (Th)Inking with Data, Hugo Romat, Nathalie Henry Riche, Ken Hinckley, Bongshin Lee (Microsoft Research), Caroline Appert (Universite Paris-Saclay), Emmanuel Pietriga (Inria Universite Paris-Saclay), Christopher Collins (Microsoft Research),,,,,,,
43,Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study, Jacob Kittley-Davies (University of Southampton), Ahmed Alqaraawi, Rayoung Yang, Enrico Costanza (University College London), Alex Rogers (University of Oxford), Sebastian Stein (University of Southampton),,,,,,,,
44,Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics, Guo Freeman (Clemson University), Jeffrey Bardzell, Shaowen Bardzell, Szu-Yu (Cyn) Liu, Xi Lu, Diandian Cao (Indiana University),,,,,,,,
45,Smart Home Security Cameras and Shifting Lines of Creepiness: A Design-Led Inquiry, James Pierce (University of California Berkeley),,,,,,,,,,,,,
46,Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies, Leah Findlater, Bonnie Chinh, Dhruv Jain, Jon Froehlich (University of Washington), Raja Kushalnagar (Gallaudet University), Angela Carey Lin (University of Washington),,,,,,,,
47,The Impact of User Characteristics and Preferences on Performance with an Unfamiliar Voice User Interface, Chelsea M. Myers, Anushay Furqan, Jichen Zhu (Drexel University),,,,,,,,,,,
48,Pinpoint: A PCB Debugging Pipeline Using Interruptible Routing and Instrumentation, Evan Strasnick, Sean Follmer, Maneesh Agrawala (Stanford University),,,,,,,,,,,
49,A Practice-Led Account of the Conceptual Evolution of UX Knowledge, Yubo Kou (Florida State University), Colin M. Gray (Purdue University),,,,,,,,,,,,
50,Understanding Visual Cues in Visualizations Accompanied by Audio Narrations, Ha-Kyung Kong, Wenjie Zhu (University of Illinois at Urbana-Champaign), Zhicheng Liu (Adobe Research), Karrie Karahalios (Adobe Research & University of Illinois at Urbana-Champaign),,,,,,,,,,
51,Context-Informed Scheduling and Analysis: Improving Accuracy of Mobile Self-Reports, Niels van Berkel, Jorge Goncalves, Peter Koval (The University of Melbourne), Simo Hosio (University of Oulu), Tilman Dingler (University of Melbourne), Denzil Ferreira (University of Oulu), Vassilis Kostakos (University of Melbourne),,,,,,,
52,BBeep: A Sonic Collision Avoidance System for Blind Travellers and Nearby Pedestrians, Seita Kayukawa (Carnegie Mellon University), Keita Higuchi (University of Tokyo), Joao Guerreiro (Carnegie Mellon University), Shigeo Morishima (Waseda Research Institute for Science and Engineering), Yoichi Sato (University of Tokyo), Kris Kitani (Carnegie Mellon University), Chieko Asakawa (Carnegie Mellon University & IBM Research),,,,,,,
53,From Gender Biases to Gender-Inclusive Design: An Empirical Investigation, Mihaela Vorvoreanu (Microsoft Research & Purdue University), Lingyi Zhang, Yun-Han Huang (Purdue University), Claudia Hilderbrand, Zoe Steine-Hanson, Margaret Burnett (Oregon State University),,,,,,,,
54,How to Work in the Car of the Future? A Neuroergonomical Study Assessing Concentration Performance and Workload Based on Subjective Behavioral and Neurophysiological Insights, Kathrin Pollmann (University of Stuttgart & Fraunhofer Institute for Industrial Engineering IAO), Oilver Stefani (Psychiatric University Clinics), Amelie Bengsch, Matthias Peissner (Fraunhofer Insitute for Industrial Engineering IAO), Mathias Vukelic (Fraunhofer Institute for Industrial Engineering IAO & University of Stuttgart),,,,,,,,,
55,Sensing Posture-Aware Pen+Touch Interaction on Tablets, Yang Zhang (Microsoft Research & Carnegie Mellon University), Michel Pahud, Christian Holz (Microsoft Research), Haijun Xia (Microsoft Research & University of Toronto), Gierad Laput (Microsoft Research & Carnegie Mellon University), Michael McGuffin (Microsoft Research & ecole de Technologie Superieure), Xiao Tu, Andrew Mittereder, Fei Su, William Buxton, Ken Hinckley (Microsoft Research),,,
56,VirtualBricks: Exploring a Scalable Modular Toolkit for Enabling Physical Manipulation in VR, Jatin Arora, Aryan Saini, Nirmita Mehra, Varnit Jain, Shwetank Shrey, Aman Parnami, (Indraprastha Institute of Information Technology),,,,,,,
57,Painting with CATS: Camera-Aided Texture Synthesis, Ticha Sethapakdi, James McCann (Carnegie Mellon University),,,,,,,,,,,,
58,A Comparison of Guiding Techniques for Out-of-View Objects in Full-Coverage Displays, Julian Petford, Iain Carson, Miguel A. Nacenta (University of St Andrews), Carl Gutwin (University of Saskatchewan),,,,,,,,,,
59,An Evaluation of Radar Metaphors for Providing Directional Stimuli Using Non-Verbal Sound, Brendan Cassidy, Janet C. Read (University of Central Lancashire), I. Scott MacKenzie (York University),,,,,,,,,,,
60,Integrated Workflows: Generating Feedback Between Digital and Physical Realms, Emrecan Gulay, Andres Lucero (Aalto University),,,,,,,,,,,,
61,Hackathons as Participatory Design: Iterating Feminist Utopias, Alexis Hope (Massachusetts Institute of Technology), Catherine D'Ignazio (Emerson College), Josephine Hoy (University of Washington), Rebecca Michelson (Independent Researcher), Jennifer Roberts (Versed Education Group), Kate Krontiris (Independent Researcher), Ethan Zuckerman (Massachusetts Institute of Technology),,,,,,,
62,Project Sidewalk: A Web-based Crowdsourcing Tool for Collecting Sidewalk Accessibility Data At Scale, Manaswi Saha, Michael Saugstad (University of Washington), Hanuma Teja Maddali (University of Maryland), Aileen Zeng (University of Washington), Ryan Holland (Montgomery Blair High School), Steven Bower, Aditya Dash (University of Maryland), Sage Chen (University of Michigan), Anthony Li (University of Maryland), Kotaro Hara (Singapore Management University), Jon Froehlich (University of Washington),,,
63,HistoryTracker: Minimizing Human Interactions in Baseball Game Annotation, Jorge Piazentin Ono, Arvi Gjoka, Justin Salamon, Carlos Dietrich, Claudio T. Silva (New York University),,,,,,,,,
64,Moments of Change: Analyzing Peer-Based Cognitive Support in Online Mental Health Forums, Yada Pruksachatkun (New York University), Sachin R. Pendse, Amit Sharma (Microsoft Research India),,,,,,,,,,,
65,Increasing the Transparency of Research Papers with Explorable Multiverse Analyses, Pierre Dragicevic (Inria), Yvonne Jansen (CNRS – Sorbonne Universite), Abhraneel Sarma, Matthew Kay (University of Michigan), Fanny Chevalier (University of Toronto),,,,,,,,,
66,A Player-Centric Approach to Designing Spatial Skill Training Games, Helen Wauck (University of Illinois at Urbana-Champaign), Elisa D. Mekler (University of Basel), Wai-Tat Fu (University of Illinois at Urbana-Champaign),,,,,,,,,,,
67,When Do People Trust Their Social Groups?, Xiao Ma (Cornell Tech & Facebook), Justin Cheng, Shankar Iyer (Facebook), Mor Naaman (Cornell Tech),,,,,,,,,,
68,Concept-Driven Visual Analytics: an Exploratory Study of Model- and Hypothesis-Based Reasoning with Visualizations, In Kwon Choi, Taylor Childers, Nirmal Kumar Raveendranath (Indiana University & Purdue University), Swati Mishra (Cornell University), Kyle Harris, Khairi Reda (Indiana University & Purdue University),,,,,,,,
69,Pictorial System Usability Scale (P-SUS): Developing an Instrument for Measuring Perceived Usability, Juergen Baumgartner (University of Fribourg), Naomi Frei, Mascha Kleinke, Juergen Sauer (University of Fribourg), Andreas Sonderegger (ecole Polytechnique Federale de Lausanne),,,,,,,,,
70,Designing Second-Screening Experiences for Social Co-Selection and Critical Co-Viewing of Reality TV, Tom Feltwell, Gavin Wood, Scarlett Rowland, Kiel S. Long, Chris Elsden (Northumbria University), Phillip Brooker (University of Liverpool), John Vines, Pamela Briggs (Northumbria University), Julie Barnett (University of Bath), Shaun Lawson (Northumbria University),,,,
71,TORC: A Virtual Reality Controller for In-Hand High-Dexterity Finger Interaction, Jaeyeon Lee (Microsoft Research & Korea Advanced Institute of Science and Technology), Mike Sinclair (Microsoft), Mar Gonzalez-Franco, Eyal Ofek, Christian Holz (Microsoft Research),,,,,,,,,
72,Threats Abuses Flirting and Blackmail: Gender Inequity in Social Media Voice Forums, Aditya Vashistha, Abhinav Garg, Richard Anderson (University of Washington), Agha Ali Raza (Information Technology University),,,,,,,,,,
73,Laughing is Scary but Farting is Cute: A Conceptual Model of Children's Perspectives of Creepy Technologies, Jason C. Yip, Kiley Sobel, Xin Gao, Allison Marie Hishikawa, Alexis Lim, Laura Meng, Romaine Flor Ofiana, Justin Park, Alexis Hiniker (University of Washington),,,,,
74,Causeway: Scaling Situated Learning with Micro-Role Hierarchies, David T. Lee, Emily S. Hamedian, Greg Wolff (University of California Santa Cruz), Amy Liu (LinkedIn),,,,,,,,,,
75,Modeling Mobile Interface Tappability Using Crowdsourcing and Deep Learning, Amanda Swearngin (University of Washington & Google Research), Yang Li (Google Research),,,,,,,,,,,,
76,CodeGazer: Making Code Navigation Easy and Natural With Gaze Input, Asma Shakil (University of Auckland), Christof Lutteroth (University of Bath & University of Auckland), Gerald Weber (University of Auckland),,,,,,,,,,,
77,Analyzing Value Discovery in Design Decisions Through Ethicography, Shruthi Sai Chivukula, Colin M. Gray, Jason A. Brier (Purdue University),,,,,,,,,,,
78,A Field Study of Computer-Security Perceptions Using Anti-Virus Customer-Support Chats, Mahmood Sharif, Kevin A. Roundy, Matteo Dell'Amico, Christopher Gates, Daniel Kats (Symantec Research Labs), Lujo Bauer, Nicolas Christin (Carnegie Mellon University),,,,,,,
79,DataSelfie: Empowering People to Design Personalized Visuals to Represent Their Data, Nam Wook Kim (Harvard University), Hyejin Im (Tufts University), Nathalie Henry Riche (Microsoft Research), Alicia Wang (Troy High School), Krzysztof Gajos, Hanspeter Pfister (Harvard University),,,,,,,,
80,PlaneVR: Social Acceptability of Virtual Reality for Aeroplane Passengers, Julie R. Williamson, Mark McGill, Khari Outram (University of Glasgow),,,,,,,,,,,
81,B-Script: Transcript-based B-roll Video Editing with Recommendations, Bernd Huber (Harvard University), Hijung Valentina Shin, Bryan Russell, Oliver Wang, Gautham J. Mysore (Adobe Research),,,,,,,,,
82,A Rough Sketch of the Freehand Drawing Process: Blending the Line between Action and Artifact, Piyum Fernando, Jennifer Weiler, Stacey Kuznetsov (Arizona State University),,,,,,,,,,,
83,What Can Gestures Tell? Detecting Motor Impairment in Early Parkinson's from Common Touch Gestural Interactions, Feng Tian, Xiangmin Fan, Junjun Fan (University of Chinese Academy of Sciences), Yicheng Zhu (Peking Union Medical College Hospital), Jing Gao (University of Chinese Academy of Sciences), Dakuo Wang (IBM Research), Xiaojun Bi (Stony Brook University), Hongan Wang (University of Chinese Academy of Sciences),,,,,,
84,Understanding the Boundaries between Policymaking and HCI, Anne Spaa, Abigail Durrant, Chris Elsden, John Vines (Northumbria University),,,,,,,,,,
85,Towards an Effective Digital Literacy Intervention to Assist Returning Citizens with Job Search, Ihudiya Finda Ogbonnaya-Ogburu, Kentaro Toyama, Tawanna R. Dillahunt (University of Michigan),,,,,,,,,,,
86,Comparing Data from Chatbot and Web Surveys: Effects of Platform and Conversational Style on Survey Response Quality, Soomin Kim, Joonhwan Lee, Gahgene Gweon (Seoul National University),,,,,,,,,,,
87,Direct Finger Manipulation of 3D Object Image with Ultrasound Haptic Feedback, Atsushi Matsubayashi, Yasutoshi Makino, Hiroyuki Shinoda (University of Tokyo),,,,,,,,,,,
88,ExerCube vs. Personal Trainer: Evaluating a Holistic Immersive and Adaptive Fitness Game Setup, Anna Lisa Martin-Niedecken (Zurich University of the Arts), Katja Rogers (Ulm University), Laia Turmo Vidal (Uppsala University), Elisa D. Mekler (University of Basel), Elena Marquez Segura (Uppsala University),,,,,,,,,
89,Tough Times at Transitional Homeless Shelters: Considering the Impact of Financial Insecurity on Digital Security and Privacy, Manya Sleeper (Google), Tara Matthews (Independent), Kathleen O'Leary, Anna Turner, Jill Palzkill Woelfer, Martin Shelton, Andrew Oplinger, Andreas Schou, Sunny Consolvo (Google),,,,,
90,The Effect of Co-located Audiences on User Experience with Conversational Interfaces in Physical Spaces, Heloisa Candello, Claudio Pinhanez, Mauro Pichiliani (IBM Research Brazil), Paulo Cavalin (IBM Research), Flavio Figueiredo (Universidade Federal de Minas Gerais), Marisa Vasconcelos, Haylla Do Carmo (IBM Research),,,,,,,
91,Unobtrusively Enhancing Reflection-in-Action of Teachers through Spatially Distributed Ambient Information, Pengcheng An, Saskia Bakker (Eindhoven University of Technology), Sara Ordanovski (Utrecht University), Ruurd Taconis (Eindhoven University of Technology), Chris L.E. Paffen (Utrecht University), Berry Eggen (Eindhoven University of Technology),,,,,,,,
92,Towards Effective Foraging by Data Scientists to Find Past Analysis Choices, Mary Beth Kery (Carnegie Mellon University), Bonnie E. John, Patrick O'Flaherty (Bloomberg), Amber Horvath, Brad A. Myers (Carnegie Mellon University),,,,,,,,,
93,I Don't Even Have to Bother Them! Using Social Media to Automate the Authentication Ceremony in Secure Messaging, Elham Vaziripour, Devon Howard, Jake Tyler, Mark O'Neill, Justin Wu, Kent Seamons, Daniel Zappala (Brigham Young University),,,,,,,
94,Exploring Sound Awareness in the Home for People who are Deaf or Hard of Hearing, Dhruv Jain, Angela Lin, Rose Guttman, Marcus Amalachandran, Aileen Zeng, Leah Findlater, Jon Froehlich, (University of Washington),,,,,,
95,Implicit Communication of Actionable Information in Human-AI teams, Claire Liang, Julia Proft, Erik Andersen, Ross A. Knepper (Cornell University),,,,,,,,,,
96,StreetWise: Smart Speakers vs Human Help in Public Slum Settings, Jennifer Pearson, Simon Robinson, Thomas Reitmaier, Matt Jones (Swansea University), Shashank Ahire, Anirudha Joshi (IIT Bombay), Deepak Sahoo (Swansea University), Nimish Maravi, Bhakti Bhikne (IIT Bombay),,,,,
97,Ways of Knowing When Research Subjects Care, Dorothy Howard, Lilly Irani (University of California San Diego),,,,,,,,,,,,
98,Design and Evaluation of Service Robot's Proactivity in Decision-Making Support Process, Zhenhui Peng (Hong Kong University of Science and Technology), Yunhwan Kwon (Dongguk University), Jiaan Lu (University of Michigan), Ziming Wu, Xiaojuan Ma (Hong Kong University of Science and Technology),,,,,,,,,
99,Empowerment on the Margins: The Online Experiences of Community Health Workers, Azra Ismail, Neha Kumar (Georgia Institute of Technology),,,,,,,,,,,,
100,Collaborative Practices with Structured Data: Do Tools Support What Users Need?, Laura Koesten, Emilia Kacprzak (University of Southampton), Jeni Tennison (The Open Data Institute), Elena Simperl (University of Southampton),,,,,,,,,,
101,RayCursor: A 3D Pointing Facilitation Technique based on Raycasting, Marc Baloup (Universite de Lille), Thomas Pietrzak, Gery Casiez (Universite de Lille),,,,,,,,,,,
102,Finding Information on Non-Rectangular Interfaces, Florine Simon (University of Toulouse), Anne Roudaut (University of Bristol), Pourang Irani (University of Manitoba), Marcos Serrano (University of Toulouse),,,,,,,,,,
103,Augmentation not Duplication: Considerations for the Design of Digitally-Augmented Comic Books, Matjaz Kljun, Klen CopiC Pucihar (University of Primorska), Jason Alexander (Lancaster University), Maheshya Weerasinghe, Cuauhtli Campos (University of Primorska), Julie Ducasse, Barbara KopaCin (University of Primorska), Jens Grubert (Coburg University), Paul Coulton (Lancaster University), Miha Celar (Astral Film),,,,
104,Swire: Sketch-based User Interface Retrieval, Forrest Huang, John F. Canny (University of California Berkeley), Jeffrey Nichols (Google),,,,,,,,,,,
105,DataToon: Drawing Dynamic Network Comics With Pen + Touch Interaction, Nam Wook Kim (Microsoft Research & Harvard University), Nathalie Henry Riche (Microsoft Research), Benjamin Bach (Edinburgh University), Guanpeng Xu (Philips Academy), Matthew Brehmer, Ken Hinckley, Michel Pahud (Microsoft Research), Haijun Xia (University of Toronto), Michael J. McGuffin (ecole de Technologie Superieure), Hanspeter Pfister (Harvard University),,,,
106,'I make up a silly name': Understanding Children's Perception of Privacy Risks Online, Jun Zhao (University of Oxford), Ge Wang (University College London), Carys Dally (University of Oxford), Petr Slovak (King's College London), Julian Edbrooke-Childs (University College London), Max Van Kleek, Nigel Shadbolt (University of Oxford),,,,,,,
107,Supporting Coping with Parkinson's Disease Through Self Tracking, Sonali R. Mishra (University of Washington), Predrag Klasnja (University of Michigan), John MacDuffie Woodburn (Sage Bionetworks), Eric B. Hekler (University of California San Diego), Larsson Omberg, Michael Kellen, Lara Mangravite (Sage Bionetworks),,,,,,,
108,What.Hack: Engaging Anti-Phishing Training Through a Role-playing Phishing Simulation Game, Zikai Alex Wen, Zhiqiu Lin, Rowena Chen, Erik Andersen (Cornell University),,,,,,,,,,
109,Position Exchange Workshops: A Method to Design for Each Other in Families, Diego Munoz, Bernd Ploderer, Margot Brereton (Queensland University of Technology),,,,,,,,,,,
110,Behavioural Biometrics in VR: Identifying People from Body Motion and Relations in Virtual Reality, Ken Pfeuffer (Bundeswehr University Munich), Matthias J. Geiger (Ludwig Maximilian University of Munich), Sarah Prange, Lukas Mecke (Ludwig Maximilian University of Munich), Daniel Buschek (Ludwig Maximilian University of Munich), Florian Alt (Bundeswehr University Munich),,,,,,,,
111,SeeingVR: A Set of Tools to Make Virtual Reality More Accessible to People with Low Vision, Yuhang Zhao (Cornell University & Microsoft Research), Edward Cutrell, Christian Holz, Meredith Ringel Morris, Eyal Ofek, Andrew D. Wilson (Microsoft Research),,,,,,,,
112,The Magic Machine Workshops: Making Personal Design Knowledge, Kristina Andersen (Eindhoven University of Technology), Ron Wakkary (Eindhoven University of Technology & Simon Fraser University),,,,,,,,,,,,
113,Thermporal: An Easy-To-Deploy Temporal Thermographic Sensor System to Support Residential Energy Audits, Matthew Louis Mauriello, Brenna McNally (University of Maryland College Park), Jon E. Froehlich (University of Washington),,,,,,,,,,,
114,Our Friends Electric: Reflections on Advocacy and Design Research for the Voice Enabled Internet, Jon Rogers, Loraine Clarke, Martin Skelly, Nick Taylor, Pete Thomas (University of Dundee), Michelle Thorne, Solana Larsen, Katarzyna Odrozek, Julia Kloiber, Peter Bihr (Mozilla Foundation), Anab Jain, Jon Arden (Superflux), Max von Grafenstein (Berlin University of the Arts),
115,(Re-)Framing Menopause Experiences for HCI and Design, Jeffrey Bardzell, Shaowen Bardzell (Indiana University), Amanda Lazar (University of Maryland College Park), Norman Makoto Su (Indiana University),,,,,,,,,,
116,Playing Blind: Revealing the World of Gamers with Visual Impairment, Ronny Andrade, Melissa J. Rogerson, Jenny Waycott, Steven Baker, Frank Vetere (The University of Melbourne),,,,,,,,,
